traces,algorithm,cache_size,hit_rate,dataset,rank
webserver-2012-11-15-1,arc,0.05,34.47,CloudCache,3.0
webserver-2012-11-15-1,lru,0.05,34.29,CloudCache,4.0
webserver-2012-11-15-1,scanalecar,0.05,34.12,CloudCache,5.0
webserver-2012-11-15-1,lirs,0.05,33.8,CloudCache,6.0
webserver-2012-11-15-1,lfu,0.05,17.46,CloudCache,7.0
webserver-2012-11-22-1,dlirs,0.05,13.73,CloudCache,1.0
webserver-2012-11-22-1,arc,0.05,13.66,CloudCache,1.0
webserver-2012-11-22-1,lru,0.05,13.58,CloudCache,1.0
webserver-2012-11-22-1,lecar,0.05,12.98,CloudCache,4.0
webserver-2012-11-22-1,lirs,0.05,12.8,CloudCache,5.0
webserver-2012-11-22-1,scanalecar,0.05,12.74,CloudCache,6.0
webserver-2012-11-22-1,lfu,0.05,10.33,CloudCache,7.0
webserver-2012-11-29-1,lecar,0.05,39.0,CloudCache,1.0
webserver-2012-11-29-1,dlirs,0.05,36.18,CloudCache,2.0
webserver-2012-11-29-1,arc,0.05,36.16,CloudCache,3.0
webserver-2012-11-29-1,lru,0.05,36.04,CloudCache,4.0
webserver-2012-11-29-1,lirs,0.05,35.43,CloudCache,5.0
webserver-2012-11-29-1,scanalecar,0.05,35.28,CloudCache,6.0
webserver-2012-11-29-1,lfu,0.05,1.6,CloudCache,7.0
moodle-2012-11-26-1,lirs,0.1,31.54,CloudCache,1.0
moodle-2012-11-26-1,dlirs,0.1,31.24,CloudCache,1.0
moodle-2012-11-26-1,scanalecar,0.1,30.67,CloudCache,1.0
moodle-2012-11-26-1,arc,0.1,29.65,CloudCache,4.0
moodle-2012-11-26-1,lru,0.1,28.28,CloudCache,5.0
moodle-2012-11-26-1,lecar,0.1,27.79,CloudCache,6.0
moodle-2012-11-26-1,lfu,0.1,18.72,CloudCache,7.0
webserver-2012-11-01-1,scanalecar,0.1,43.75,CloudCache,1.0
webserver-2012-11-01-1,lecar,0.1,43.69,CloudCache,1.0
webserver-2012-11-01-1,lru,0.1,39.51,CloudCache,3.0
webserver-2012-11-01-1,dlirs,0.1,39.26,CloudCache,4.0
webserver-2012-11-01-1,arc,0.1,38.91,CloudCache,5.0
webserver-2012-11-01-1,lirs,0.1,37.81,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.1,1.55,CloudCache,7.0
webserver-2012-11-08-1,lecar,0.1,42.36,CloudCache,1.0
webserver-2012-11-08-1,lru,0.1,38.43,CloudCache,2.0
webserver-2012-11-08-1,scanalecar,0.1,38.2,CloudCache,3.0
webserver-2012-11-08-1,dlirs,0.1,38.1,CloudCache,4.0
webserver-2012-11-08-1,arc,0.1,37.81,CloudCache,5.0
webserver-2012-11-08-1,lirs,0.1,36.67,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.1,26.72,CloudCache,7.0
webserver-2012-11-15-1,lecar,0.1,39.71,CloudCache,1.0
webserver-2012-11-15-1,lru,0.1,36.11,CloudCache,2.0
webserver-2012-11-15-1,scanalecar,0.1,35.65,CloudCache,3.0
webserver-2012-11-15-1,dlirs,0.1,35.54,CloudCache,4.0
webserver-2012-11-15-1,arc,0.1,35.41,CloudCache,5.0
webserver-2012-11-15-1,lirs,0.1,34.15,CloudCache,6.0
webserver-2012-11-15-1,lfu,0.1,20.42,CloudCache,7.0
webserver-2012-11-22-1,arc,0.1,14.1,CloudCache,1.0
webserver-2012-11-22-1,lru,0.1,14.0,CloudCache,1.0
webserver-2012-11-22-1,lecar,0.1,13.76,CloudCache,1.0
webserver-2012-11-22-1,dlirs,0.1,13.48,CloudCache,1.0
webserver-2012-11-22-1,lirs,0.1,13.19,CloudCache,5.0
webserver-2012-11-22-1,scanalecar,0.1,12.81,CloudCache,6.0
webserver-2012-11-22-1,lfu,0.1,10.54,CloudCache,7.0
webserver-2012-11-29-1,lecar,0.1,41.14,CloudCache,1.0
webserver-2012-11-29-1,lru,0.1,37.85,CloudCache,2.0
webserver-2012-11-29-1,dlirs,0.1,37.38,CloudCache,3.0
webserver-2012-11-29-1,arc,0.1,37.11,CloudCache,4.0
webserver-2012-11-29-1,scanalecar,0.1,36.92,CloudCache,5.0
webserver-2012-11-29-1,lirs,0.1,36.43,CloudCache,6.0
webserver-2012-11-29-1,lfu,0.1,25.24,CloudCache,7.0
vps26020-1,lirs,0.0005,3.19,CloudVPS,1.0
vps26020-1,arc,0.0005,3.08,CloudVPS,1.0
vps26020-1,scanalecar,0.0005,2.54,CloudVPS,3.0
vps26020-1,lecar,0.0005,2.21,CloudVPS,4.0
vps26020-1,lfu,0.0005,1.62,CloudVPS,5.0
vps26020-1,dlirs,0.0005,1.39,CloudVPS,6.0
vps26020-1,lru,0.0005,0.24,CloudVPS,7.0
vps26107-1,arc,0.0005,9.38,CloudVPS,1.0
